# session	source_tag	category	db25_parse	db25_analyze	sql
select1	ok	ddl	accept	exec_ok	CREATE TABLE t1(a INTEGER, b INTEGER, c INTEGER, d INTEGER, e INTEGER)
select1	ok	dml	accept	clean	INSERT INTO t1(e,c,b,d,a) VALUES(103,102,100,101,104)
select1	ok	dml	accept	clean	INSERT INTO t1(a,c,d,e,b) VALUES(107,106,108,109,105)
select1	ok	dml	accept	clean	INSERT INTO t1(e,d,b,a,c) VALUES(110,114,112,111,113)
select1	ok	dml	accept	clean	INSERT INTO t1(d,c,e,a,b) VALUES(116,119,117,115,118)
select1	ok	dml	accept	clean	INSERT INTO t1(c,d,b,e,a) VALUES(123,122,124,120,121)
select1	ok	dml	accept	clean	INSERT INTO t1(a,d,b,e,c) VALUES(127,128,129,126,125)
select1	ok	dml	accept	clean	INSERT INTO t1(e,c,a,d,b) VALUES(132,134,131,133,130)
select1	ok	dml	accept	clean	INSERT INTO t1(a,d,b,e,c) VALUES(138,136,139,135,137)
select1	ok	dml	accept	clean	INSERT INTO t1(e,c,d,a,b) VALUES(144,141,140,142,143)
select1	ok	dml	accept	clean	INSERT INTO t1(b,a,e,d,c) VALUES(145,149,146,148,147)
select1	ok	dml	accept	clean	INSERT INTO t1(b,c,a,d,e) VALUES(151,150,153,154,152)
select1	ok	dml	accept	clean	INSERT INTO t1(c,e,a,d,b) VALUES(155,157,159,156,158)
select1	ok	dml	accept	clean	INSERT INTO t1(c,b,a,d,e) VALUES(161,160,163,164,162)
select1	ok	dml	accept	clean	INSERT INTO t1(b,d,a,e,c) VALUES(167,169,168,165,166)
select1	ok	dml	accept	clean	INSERT INTO t1(d,b,c,e,a) VALUES(171,170,172,173,174)
select1	ok	dml	accept	clean	INSERT INTO t1(e,c,a,d,b) VALUES(177,176,179,178,175)
select1	ok	dml	accept	clean	INSERT INTO t1(b,e,a,d,c) VALUES(181,180,182,183,184)
select1	ok	dml	accept	clean	INSERT INTO t1(c,a,b,e,d) VALUES(187,188,186,189,185)
select1	ok	dml	accept	clean	INSERT INTO t1(d,b,c,e,a) VALUES(190,194,193,192,191)
select1	ok	dml	accept	clean	INSERT INTO t1(a,e,b,d,c) VALUES(199,197,198,196,195)
select1	ok	dml	accept	clean	INSERT INTO t1(b,c,d,a,e) VALUES(200,202,203,201,204)
